trade_date,amd_tag,strategy,entry_hour,entry_price,exit_hour,exit_pips,exit_reason,peak_pips,is_positive,hard_sl_fired,predicted_direction
2025-06-26,AMD_COMPRESSION_BREAKOUT,S0_BASELINE,10,0.65384,11,2.8999999999998494,trail_stop,5.399999999999849,true,false,UP
2025-06-27,AMD_COMPRESSION_BREAKOUT,S0_BASELINE,10,0.65419,15,8.40000000000063,max_hold,18.90000000000058,true,false,DOWN
2025-06-30,AMD_TEXTBOOK,S0_BASELINE,12,0.65316,15,41.200000000000124,max_hold,41.200000000000124,true,false,UP
2025-07-01,AMD_TEXTBOOK,S0_BASELINE,12,0.65852,13,-15,hard_sl,2.4999999999997247,false,true,UP
2025-07-02,AMD_FAILED,S0_BASELINE,11,0.65646,15,-6.099999999999994,max_hold,21.20000000000011,false,false,DOWN
2025-07-03,AMD_FAILED,S0_BASELINE,11,0.65738,12,1.2999999999993594,trail_stop,3.7999999999993594,true,false,DOWN
2025-07-04,AMD_FAILED,S0_BASELINE,11,0.65568,12,0.5000000000007798,trail_stop,3.00000000000078,true,false,DOWN
2025-07-07,AMD_NONE,S0_BASELINE,10,0.6497,10,0.10000000000037979,trail_stop,2.60000000000038,true,false,DOWN
2025-07-08,AMD_NONE,S0_BASELINE,10,0.6539,12,0.10000000000037979,trail_stop,2.60000000000038,true,false,DOWN
2025-07-09,AMD_SHIFTED,S0_BASELINE,12,0.6516,12,-15,hard_sl,1.5999999999993797,false,true,DOWN
2025-07-10,AMD_TEXTBOOK,S0_BASELINE,12,0.65512,12,0.5000000000007798,trail_stop,3.00000000000078,true,false,DOWN
2025-07-11,AMD_SHIFTED,S0_BASELINE,12,0.65796,12,1.6999999999997595,trail_stop,4.1999999999997595,true,false,UP
2025-07-14,AMD_COMPRESSION_BREAKOUT,S0_BASELINE,10,0.65684,11,0.4999999999996696,trail_stop,2.9999999999996696,true,false,DOWN
2025-07-15,AMD_FAILED,S0_BASELINE,11,0.6569,12,4.300000000000139,trail_stop,6.800000000000139,true,false,UP
2025-07-16,AMD_COMPRESSION_BREAKOUT,S0_BASELINE,10,0.65226,10,0.5999999999992145,trail_stop,3.0999999999992145,true,false,DOWN
2025-07-17,AMD_NONE,S0_BASELINE,10,0.64662,13,9.499999999999789,trail_stop,11.999999999999789,true,false,DOWN
2025-07-18,AMD_COMPRESSION_BREAKOUT,S0_BASELINE,10,0.65193,15,6.699999999999484,max_hold,21.700000000000053,true,false,UP
2025-07-21,AMD_COMPRESSION_BREAKOUT,S0_BASELINE,10,0.65114,15,18.599999999999728,max_hold,26.199999999999555,true,false,UP
2025-07-22,AMD_SHIFTED,S0_BASELINE,12,0.65194,15,35.60000000000008,max_hold,36.50000000000042,true,false,UP
2025-07-23,AMD_SHIFTED,S0_BASELINE,12,0.65982,12,0.10000000000037979,trail_stop,2.60000000000038,true,false,UP
2025-07-24,AMD_TEXTBOOK,S0_BASELINE,12,0.66156,15,16.00000000000046,max_hold,17.20000000000055,true,false,DOWN
2025-07-25,AMD_COMPRESSION_BREAKOUT,S0_BASELINE,10,0.65628,10,0.6999999999998696,trail_stop,3.1999999999998696,true,false,DOWN
2025-07-28,AMD_NONE,S0_BASELINE,10,0.65255,11,0.7999999999994145,trail_stop,3.2999999999994145,true,false,DOWN
2025-07-29,AMD_TEXTBOOK,S0_BASELINE,12,0.64988,12,0.10000000000037979,trail_stop,2.60000000000038,true,false,DOWN
2025-07-30,AMD_COMPRESSION_BREAKOUT,S0_BASELINE,10,0.65,15,49.2999999999999,max_hold,51.20000000000013,true,false,DOWN
2025-07-31,AMD_SHIFTED,S0_BASELINE,12,0.64459,12,1.4000000000000146,trail_stop,3.9000000000000146,true,false,DOWN
2025-08-01,AMD_TEXTBOOK,S0_BASELINE,12,0.64237,15,42.90000000000016,max_hold,69.79999999999987,true,false,UP
2025-08-04,AMD_FAILED,S0_BASELINE,11,0.6479,11,0.3000000000005798,trail_stop,2.80000000000058,true,false,DOWN
2025-08-05,AMD_SHIFTED,S0_BASELINE,12,0.64596,14,0.6000000000003247,trail_stop,3.1000000000003247,true,false,DOWN
