trade_date,amd_tag,daily_bias_alignment,layer4_d1_bias,judas_direction,judas_pips,reversal_confirmed,asian_range_pips,predicted_direction,judas_window_direction,judas_window_pips,hour_10_direction,hour_10_pips,hour_10_correct,hour_11_direction,hour_11_pips,hour_11_correct,hour_12_direction,hour_12_pips,hour_12_correct,hour_13_direction,hour_13_pips,hour_13_correct,hour_14_direction,hour_14_pips,hour_14_correct,hour_15_direction,hour_15_pips,hour_15_correct,full_dist_direction,full_dist_pips,full_dist_correct,cumulative_10_correct,cumulative_11_correct,cumulative_12_correct,cumulative_13_correct
2025-05-29,AMD_SHIFTED,CONFLICTED,TRENDING_DOWN,DOWN,14,true,42,DOWN,DOWN,6.8,FLAT,0.6,n/a,DOWN,9,true,UP,22.1,false,DOWN,19.5,true,UP,6.4,false,FLAT,0.9,n/a,FLAT,0.1,n/a,n/a,true,false,true
2025-05-30,AMD_SHIFTED,CONFLICTED,TRENDING_DOWN,DOWN,6,false,45,DOWN,FLAT,0.9,UP,2.6,false,FLAT,1.7,n/a,FLAT,1.1,n/a,DOWN,12.8,true,UP,24.8,false,DOWN,2,true,UP,15.4,false,false,false,false,true
2025-06-02,AMD_SHIFTED,CONFLICTED,TRENDING_DOWN,DOWN,5,true,47,DOWN,FLAT,1.1,FLAT,0.1,n/a,DOWN,3.2,true,UP,9.1,false,DOWN,10.4,true,UP,19.6,false,DOWN,4.6,true,UP,10.1,false,n/a,true,false,true
2025-06-03,AMD_SHIFTED,CONFLICTED,TRENDING_DOWN,DOWN,7,false,49,DOWN,FLAT,0.2,FLAT,2,n/a,FLAT,0.2,n/a,DOWN,4.4,true,FLAT,1.8,n/a,UP,13.4,false,DOWN,6.8,true,UP,2.2,false,n/a,n/a,true,true
2025-06-04,AMD_COMPRESSION_BREAKOUT,CONFLICTED,TRENDING_UP,UP,18,false,29,UP,UP,12.9,FLAT,1.6,n/a,UP,6.9,true,UP,9.3,true,DOWN,3.6,false,UP,11.7,true,DOWN,3.2,false,UP,22.7,true,n/a,true,true,true
2025-06-05,AMD_COMPRESSION_BREAKOUT,CONFLICTED,TRENDING_UP,UP,13,false,23,UP,UP,9.2,FLAT,0.6,n/a,FLAT,1.7,n/a,UP,9,true,UP,8.6,true,DOWN,2.3,false,DOWN,8.4,false,UP,5.6,true,n/a,n/a,true,true
2025-06-06,AMD_FAILED,ALIGNED,TRENDING_UP,DOWN,13,false,24,UP,DOWN,10,UP,4.1,true,FLAT,1.8,n/a,FLAT,1,n/a,FLAT,1.4,n/a,DOWN,4.2,false,UP,8.9,true,UP,6.1,true,true,true,true,n/a
2025-06-09,AMD_SHIFTED,CONFLICTED,TRENDING_UP,UP,15,true,26,UP,UP,8.4,DOWN,4,false,DOWN,4.8,false,DOWN,6.3,false,DOWN,3.4,false,UP,9,true,UP,6.2,true,DOWN,2.6,false,false,false,false,false
2025-06-10,AMD_SHIFTED,CONFLICTED,TRENDING_UP,UP,17,false,40,UP,UP,16.2,DOWN,2.8,false,UP,6,true,DOWN,3,false,UP,15.2,true,DOWN,5.7,false,DOWN,5.1,false,UP,4,true,false,true,n/a,true
2025-06-11,AMD_TEXTBOOK,CONFLICTED,TRENDING_UP,UP,8,true,32,DOWN,UP,2.2,DOWN,4.3,true,DOWN,3.8,true,UP,23.2,false,DOWN,10.1,true,FLAT,0.2,n/a,FLAT,1.9,n/a,UP,6.2,false,true,true,false,false
2025-06-12,AMD_SHIFTED,CONFLICTED,TRENDING_UP,UP,24,false,34,UP,UP,16.8,UP,17.6,true,FLAT,1.8,n/a,UP,11.8,true,DOWN,8,false,UP,8.5,true,DOWN,4,false,UP,24.4,true,true,true,true,true
2025-06-13,AMD_NONE,CONFLICTED,TRENDING_UP,UP,14,true,71,UP,FLAT,0,DOWN,15.1,false,UP,7.6,true,UP,3.4,true,UP,5.2,true,UP,15.4,true,UP,11.8,true,UP,28.7,true,false,false,false,n/a
2025-06-16,AMD_SHIFTED,CONFLICTED,TRENDING_UP,UP,9,false,47,UP,UP,8.4,FLAT,0.4,n/a,UP,8,true,UP,3.2,true,UP,15.5,true,DOWN,2.8,false,DOWN,5.2,false,UP,19.2,true,n/a,true,true,true
2025-06-17,AMD_SHIFTED,CONFLICTED,TRENDING_DOWN,DOWN,11,true,41,DOWN,DOWN,10.3,UP,7.9,false,FLAT,0.6,n/a,DOWN,14.6,true,UP,12.3,false,DOWN,26.4,true,UP,4.9,false,DOWN,15.1,true,false,false,true,false
2025-06-18,AMD_SHIFTED,CONFLICTED,TRENDING_UP,UP,6,true,37,UP,UP,2.3,DOWN,12.3,false,UP,12.6,true,FLAT,1.3,n/a,FLAT,0.2,n/a,UP,16.4,true,UP,2.6,true,UP,17.9,true,false,n/a,n/a,n/a
2025-06-19,AMD_SHIFTED,ALIGNED,TRENDING_DOWN,UP,15,true,49,DOWN,FLAT,1.2,FLAT,1.8,n/a,UP,4.8,false,DOWN,6,true,DOWN,3.5,true,DOWN,5.1,true,FLAT,0.8,n/a,DOWN,11.4,true,n/a,false,true,true
